Row,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2021/04/25,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/26,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/27,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/28,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/29,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/30,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/05/01,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/05/02,0,0,0.00253360444820326,0.160131718640347,0.194126644233711,0.181602576790888,0.103766217407734,0.15951631187807,0.198322926601047
2021/05/03,0,0,0.00253360444820326,0.160131718640347,0.194126644233711,0.181602576790888,0.103766217407734,0.15951631187807,0.198322926601047
2021/05/04,0,0,0.00253360444820326,0.160131718640347,0.194126644233711,0.181602576790888,0.103766217407734,0.15951631187807,0.198322926601047
2021/05/05,0,0,0.00253360444820326,0.160131718640347,0.194126644233711,0.181602576790888,0.103766217407734,0.15951631187807,0.198322926601047
2021/05/06,0,0,0.00253360444820326,0.160131718640347,0.194126644233711,0.181602576790888,0.103766217407734,0.15951631187807,0.198322926601047
2021/05/07,0,0,0.00253360444820326,0.160131718640347,0.194126644233711,0.181602576790888,0.103766217407734,0.15951631187807,0.198322926601047
2021/05/08,0,0,0.00253360444820326,0.160131718640347,0.194126644233711,0.181602576790888,0.103766217407734,0.15951631187807,0.198322926601047
2021/05/09,0,0,0.00253360444820326,0.160131718640347,0.194126644233711,0.181602576790888,0.103766217407734,0.15951631187807,0.198322926601047
2021/05/10,0,0,0.00253360444820326,0.160131718640347,0.194126644233711,0.181602576790888,0.103766217407734,0.15951631187807,0.198322926601047
2021/05/11,0,0,0.0127122230309596,0.167899520964165,0.167611760922186,0.125869627773922,0.0629686680095469,0.20061953044332,0.2623186688559
2021/05/12,0,0,0.0127122230309596,0.167899520964165,0.167611760922186,0.125869627773922,0.0629686680095469,0.20061953044332,0.2623186688559
2021/05/13,0,0,0.0127122230309596,0.167899520964165,0.167611760922186,0.125869627773922,0.0629686680095469,0.20061953044332,0.2623186688559
2021/05/14,0,0,0.0127122230309596,0.167899520964165,0.167611760922186,0.125869627773922,0.0629686680095469,0.20061953044332,0.2623186688559
