Row,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2022/01/25,0,0,0.138554186736291,0.128758209164253,0.145696722336429,0.141097589644324,0.104229501473023,0.175124669257586,0.166539121388093
2022/01/26,0,0,0.138554186736291,0.128758209164253,0.145696722336429,0.141097589644324,0.104229501473023,0.175124669257586,0.166539121388093
2022/01/27,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2022/01/28,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2022/01/29,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2022/01/30,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2022/01/31,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2022/02/01,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2022/02/02,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2022/02/03,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2022/02/04,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2022/02/05,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2022/02/06,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2022/02/07,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2022/02/08,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2022/02/09,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2022/02/10,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
2022/02/11,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
2022/02/12,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
2022/02/13,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
2022/02/14,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
2022/02/15,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
